Model,Train MSE,Test MSE,Train RMSE,Test RMSE,Train R²,Test R²
Linear Regression,37277033.97481928,33639075.08997809,6105.492115695448,5799.920265829358,0.7417300723597997,0.7833214205203847
Gradient Descent (SGD),38067639.93298787,34112430.16111674,6169.897886755329,5840.584744793688,0.7362524438621558,0.7802724096861255
Decision Tree,17994223.379493657,20942725.92490062,4241.9598512354705,4576.322314359056,0.8753289552676661,0.865102114380359
Random Forest,13050001.640306951,18906804.993985776,3612.4786006711447,4348.195602084361,0.9095844647505137,0.878216043763479
